ID,Food,Grams,Calories,Protein,Category
122,Corn meal,118,360,9,"Breads, cereals, fastfood,grains"
123,Crackers,14,55,1,"Breads, cereals, fastfood,grains"
124,"Soda, 2 1/2 square",11,45,1,"Breads, cereals, fastfood,grains"
125,Flour,110,460,39,"Breads, cereals, fastfood,grains"
126,Wheat (all purpose),110,400,12,"Breads, cereals, fastfood,grains"
127,Wheat (whole),120,390,13,"Breads, cereals, fastfood,grains"
128,Macaroni,140,155,5,"Breads, cereals, fastfood,grains"
129,Baked with cheese,220,475,18,"Breads, cereals, fastfood,grains"
130,Muffins,48,135,4,"Breads, cereals, fastfood,grains"
131,Noodles,160,200,7,"Breads, cereals, fastfood,grains"
132,Oatmeal,236,150,5,"Breads, cereals, fastfood,grains"
133,"Pancakes 4"" diam.",108,250,7,"Breads, cereals, fastfood,grains"
134,"Wheat, pancakes 4"" diam.",108,250,7,"Breads, cereals, fastfood,grains"
135,"Pizza 14"" diam.",75,180,8,"Breads, cereals, fastfood,grains"
136,Popcorn salted,28,152,3,"Breads, cereals, fastfood,grains"
137,Rice,208,748,15,"Breads, cereals, fastfood,grains"
138,Rice polish,50,132,6,"Breads, cereals, fastfood,grains"
139,Rolls,50,411,3,"Breads, cereals, fastfood,grains"
140,of refined flour,38,115,3,"Breads, cereals, fastfood,grains"
141,whole-wheat,40,102,4,"Breads, cereals, fastfood,grains"
142,Spaghetti with meat sauce,250,285,13,"Breads, cereals, fastfood,grains"
143,with tomatoes and cheese,250,210,6,"Breads, cereals, fastfood,grains"
144,Spanish rice,250,217,4,"Breads, cereals, fastfood,grains"
145,Shredded wheat biscuit,28,100,3,"Breads, cereals, fastfood,grains"
146,Waffles,75,240,8,"Breads, cereals, fastfood,grains"
147,Wheat germ,68,245,17,"Breads, cereals, fastfood,grains"
148,Wheat-germ cereal toasted,65,260,20,"Breads, cereals, fastfood,grains"
149,Wheat meal cereal unrefined,30,103,4,"Breads, cereals, fastfood,grains"
150,"Wheat, cooked",200,275,12,"Breads, cereals, fastfood,grains"
151,Bean soups,250,190,8,Soups
152,Beef soup,250,100,6,Soups
153,Bouillon,240,24,5,Soups
154,chicken soup,250,75,4,Soups
155,Clam chowder,255,85,5,Soups
156,Cream soups,255,200,7,Soups
157,Noodle,250,115,6,Soups
158,Split-pea soup,250,147,8,Soups
159,Tomato soup,245,175,6,Soups
160,Vegetable,250,80,4,Soups
161,Apple betty,100,150,1,"Desserts, sweets"
162,Bread pudding,200,374,11,"Desserts, sweets"
163,Chocolate fudge,120,420,5,"Desserts, sweets"
164,Cupcake,50,160,3,"Desserts, sweets"
165,Fruit cake,30,105,2,"Desserts, sweets"
166,Gingerbread,55,180,2,"Desserts, sweets"
167,"Plain, with no icing",55,180,4,"Desserts, sweets"
168,Sponge cake,40,115,3,"Desserts, sweets"
169,Candy,25,104,t,"Desserts, sweets"
170,Chocolate creams,30,130,t,"Desserts, sweets"
171,Fudge,90,370,t,"Desserts, sweets"
172,Hard candies,28,90,t,"Desserts, sweets"
173,Marshmallows,30,98,1,"Desserts, sweets"
174,Milk chocolate,56,290,2,"Desserts, sweets"
175,Doughnuts,33,135,2,"Desserts, sweets"
176,Honey,42,120,t,"Jams, Jellies"
177,Ice cream,300,250,0,"Desserts, sweets"
178,Ices,150,117,0,"Desserts, sweets"
179,preserves,20,55,0,"Jams, Jellies"
180,Jellies,20,50,0,"Jams, Jellies"
181,Molasses,20,45,0,"Jams, Jellies"
182,Cane Syrup,20,50,0,"Jams, Jellies"
183,"9"" diam. pie",135,330,3,"Desserts, sweets"
184,Cherry Pie,135,340,3,"Desserts, sweets"
185,Custard,130,265,7,"Desserts, sweets"
186,Lemon meringue,120,300,4,"Desserts, sweets"
187,Mince,135,340,3,"Desserts, sweets"
188,Pumpkin Pie,130,265,5,"Desserts, sweets"
189,Puddings Sugar,200,770,0,"Desserts, sweets"
190,3 teaspoons sugar,12,50,0,"Desserts, sweets"
191,Syrup,40,100,0,"Jams, Jellies"
192,table blends sugar,40,110,0,"Jams, Jellies"
193,Tapioca cream pudding,250,335,10,"Desserts, sweets"
194,Almonds,70,425,13,Seeds and Nuts
195,roasted and salted,70,439,13,Seeds and Nuts
196,Brazil nuts,70,457,10,Seeds and Nuts
197,Cashews,70,392,12,Seeds and Nuts
198,coconut sweetened,50,274,1,Seeds and Nuts
199,Peanut butter,50,300,12,Seeds and Nuts
200,"Peanut butter, natural",50,284,13,Seeds and Nuts
201,Peanuts,50,290,13,Seeds and Nuts
202,Pecans,52,343,5,Seeds and Nuts
203,Sesame seeds,50,280,9,Seeds and Nuts
204,Sunflower seeds,50,280,12,Seeds and Nuts
