Food,Grams,Calories,Protein,Fat,Category,Calories_Category,,Id_Calories
Turnip greens,145,45,4,1,Vegetables R-Z,Rendah,,0
Avocado,108,185,2,18,Fruits A-F,Sedang,,1
Blackberries,144,85,2,1,Fruits A-F,Rendah,,0
Cherries,257,100,2,1,Fruits A-F,Rendah,,0
Olives large,65,72,1,10,Fruits G-P,Rendah,,0
OlivesRipe,65,105,1,13,Fruits G-P,Rendah,,0
"Raw, 3 by 2V",182,100,1,1,Fruits G-P,Rendah,,0
Prunes,270,300,3,1,Fruits G-P,Tinggi,,2
Watermelon,925,120,2,1,Fruits R-Z,Sedang,,1
Biscuits,38,130,3,4,"Breads, cereals, fastfood,grains",Sedang,,1
"Bread, cracked wheat",23,60,2,1,"Breads, cereals, fastfood,grains",Rendah,,0
Rye,23,55,2,1,"Breads, cereals, fastfood,grains",Rendah,,0
Whole-wheat,23,55,2,1,"Breads, cereals, fastfood,grains",Rendah,,0
Corn bread ground meal,50,100,3,4,"Breads, cereals, fastfood,grains",Rendah,,0
Corn meal,118,360,9,4,"Breads, cereals, fastfood,grains",Tinggi,,2
Crackers,14,55,1,1,"Breads, cereals, fastfood,grains",Rendah,,0
"Soda, 2 1/2 square",11,45,1,1,"Breads, cereals, fastfood,grains",Rendah,,0
Flour,110,460,39,22,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat (all purpose),110,400,12,1,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat (whole),120,390,13,2,"Breads, cereals, fastfood,grains",Tinggi,,2
Macaroni,140,155,5,1,"Breads, cereals, fastfood,grains",Sedang,,1
Baked with cheese,220,475,18,25,"Breads, cereals, fastfood,grains",Tinggi,,2
Muffins,48,135,4,5,"Breads, cereals, fastfood,grains",Sedang,,1
Noodles,160,200,7,2,"Breads, cereals, fastfood,grains",Sedang,,1
Oatmeal,236,150,5,3,"Breads, cereals, fastfood,grains",Sedang,,1
"Pancakes 4"" diam.",108,250,7,9,"Breads, cereals, fastfood,grains",Tinggi,,2
"Wheat, pancakes 4"" diam.",108,250,7,9,"Breads, cereals, fastfood,grains",Tinggi,,2
"Pizza 14"" diam.",75,180,8,6,"Breads, cereals, fastfood,grains",Sedang,,1
Popcorn salted,28,152,3,7,"Breads, cereals, fastfood,grains",Sedang,,1
Rice,208,748,15,3,"Breads, cereals, fastfood,grains",Tinggi,,2
Rice polish,50,132,6,6,"Breads, cereals, fastfood,grains",Sedang,,1
Rolls,50,411,3,12,"Breads, cereals, fastfood,grains",Tinggi,,2
of refined flour,38,115,3,2,"Breads, cereals, fastfood,grains",Sedang,,1
whole-wheat,40,102,4,1,"Breads, cereals, fastfood,grains",Rendah,,0
Spaghetti with meat sauce,250,285,13,10,"Breads, cereals, fastfood,grains",Tinggi,,2
with tomatoes and cheese,250,210,6,5,"Breads, cereals, fastfood,grains",Sedang,,1
Spanish rice,250,217,4,4,"Breads, cereals, fastfood,grains",Sedang,,1
Shredded wheat biscuit,28,100,3,1,"Breads, cereals, fastfood,grains",Rendah,,0
Waffles,75,240,8,9,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat germ,68,245,17,7,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat-germ cereal toasted,65,260,20,7,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat meal cereal unrefined,30,103,4,1,"Breads, cereals, fastfood,grains",Rendah,,0
"Wheat, cooked",200,275,12,1,"Breads, cereals, fastfood,grains",Tinggi,,2
Bean soups,250,190,8,5,Soups,Sedang,,1
Beef soup,250,100,6,4,Soups,Rendah,,0
Bouillon,240,24,5,0,Soups,Rendah,,0
chicken soup,250,75,4,2,Soups,Rendah,,0
Clam chowder,255,85,5,2,Soups,Rendah,,0
Cream soups,255,200,7,12,Soups,Sedang,,1
Noodle,250,115,6,4,Soups,Sedang,,1
Split-pea soup,250,147,8,3,Soups,Sedang,,1
Tomato soup,245,175,6,7,Soups,Sedang,,1
Vegetable,250,80,4,2,Soups,Rendah,,0
Apple betty,100,150,1,4,"Desserts, sweets",Sedang,,1
Bread pudding,200,374,11,12,"Desserts, sweets",Tinggi,,2
Chocolate fudge,120,420,5,14,"Desserts, sweets",Tinggi,,2
Cupcake,50,160,3,3,"Desserts, sweets",Sedang,,1
Fruit cake,30,105,2,4,"Desserts, sweets",Rendah,,0
Gingerbread,55,180,2,7,"Desserts, sweets",Sedang,,1
"Plain, with no icing",55,180,4,5,"Desserts, sweets",Sedang,,1
Sponge cake,40,115,3,2,"Desserts, sweets",Sedang,,1
Marshmallows,30,98,1,0,"Desserts, sweets",Rendah,,0
Milk chocolate,56,290,2,6,"Desserts, sweets",Tinggi,,2
Doughnuts,33,135,2,7,"Desserts, sweets",Sedang,,1
Ice cream,300,250,0,0,"Desserts, sweets",Tinggi,,2
Ices,150,117,0,0,"Desserts, sweets",Sedang,,1
preserves,20,55,0,0,"Jams, Jellies",Rendah,,0
Jellies,20,50,0,0,"Jams, Jellies",Rendah,,0
Molasses,20,45,0,0,"Jams, Jellies",Rendah,,0
Cane Syrup,20,50,0,0,"Jams, Jellies",Rendah,,0
"9"" diam. pie",135,330,3,13,"Desserts, sweets",Tinggi,,2
Cherry Pie,135,340,3,13,"Desserts, sweets",Tinggi,,2
Custard,130,265,7,11,"Desserts, sweets",Tinggi,,2
Lemon meringue,120,300,4,12,"Desserts, sweets",Tinggi,,2
Mince,135,340,3,9,"Desserts, sweets",Tinggi,,2
Pumpkin Pie,130,265,5,12,"Desserts, sweets",Tinggi,,2
Puddings Sugar,200,770,0,0,"Desserts, sweets",Tinggi,,2
3 teaspoons sugar,12,50,0,0,"Desserts, sweets",Rendah,,0
Syrup,40,100,0,0,"Jams, Jellies",Rendah,,0
table blends sugar,40,110,0,0,"Jams, Jellies",Sedang,,1
Tapioca cream pudding,250,335,10,10,"Desserts, sweets",Tinggi,,2
Almonds,70,425,13,38,Seeds and Nuts,Tinggi,,2
roasted and salted,70,439,13,40,Seeds and Nuts,Tinggi,,2
Brazil nuts,70,457,10,47,Seeds and Nuts,Tinggi,,2
Cashews,70,392,12,32,Seeds and Nuts,Tinggi,,2
coconut sweetened,50,274,1,20,Seeds and Nuts,Tinggi,,2
Peanut butter,50,300,12,25,Seeds and Nuts,Tinggi,,2
"Peanut butter, natural",50,284,13,24,Seeds and Nuts,Tinggi,,2
Peanuts,50,290,13,25,Seeds and Nuts,Tinggi,,2
Pecans,52,343,5,35,Seeds and Nuts,Tinggi,,2
Sesame seeds,50,280,9,24,Seeds and Nuts,Tinggi,,2
Sunflower seeds,50,280,12,26,Seeds and Nuts,Tinggi,,2
Walnuts,50,325,7,32,Seeds and Nuts,Tinggi,,2
